"exposure","crop","crop_label","specification","cutoff_km","estimate","standard_error","p_value","vcov_fixed","vcov_warning","observations"
"Excess salinity above FAO threshold","corn","Corn","Spec. 1",50,-0.0848392819284813,0.0211588557308814,6.08514401039773e-05,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 1",100,-0.0848392819284813,0.0210610170966753,5.62272271757969e-05,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 1",200,-0.0848392819284813,0.0246509547628779,0.000578443717669709,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 1",250,-0.0848392819284813,0.0228399381743174,0.000203691246977438,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 1",300,-0.0848392819284813,0.0237263047249123,0.000349372557300222,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 2",50,-0.0813813496408613,0.0211389818897315,0.000118267440964038,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 2",100,-0.0813813496408613,0.0210548041162318,0.000111052740795743,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 2",200,-0.0813813496408613,0.0233259479476153,0.000485238267299262,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 2",250,-0.0813813496408613,0.0213456750294299,0.000137615424731655,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 2",300,-0.0813813496408613,0.0220803853997584,0.0002281937579074,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 3",50,-0.0732038105807869,0.020264241955405,0.000303433450636746,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 3",100,-0.0732038105807869,0.0200049745224725,0.00025303850215368,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 3",200,-0.0732038105807869,0.0217430167463217,0.000760782721545228,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 3",250,-0.0732038105807869,0.0198095095275579,0.000219654492766545,FALSE,"",114025
"Excess salinity above FAO threshold","corn","Corn","Spec. 3",300,-0.0732038105807869,0.0209669500131904,0.000480695037344783,FALSE,"",114025
"Excess salinity above FAO threshold","rice","Rice","Spec. 1",50,0.042353878782435,0.0630966741697476,0.502061244204849,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 1",100,0.042353878782435,0.0603384754161764,0.482720199766939,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 1",200,0.042353878782435,0.0619503042258041,0.494182765892705,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 1",250,0.042353878782435,0.0703803497840447,0.547318948803272,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 1",300,0.042353878782435,0.0635966544147315,0.505428432829765,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 2",50,0.0325907786497473,0.0587089128547444,0.578811121227032,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 2",100,0.0325907786497473,0.054473692442854,0.54965201233425,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 2",200,0.0325907786497473,0.054466794760252,0.549601467098185,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 2",250,0.0325907786497473,0.0646402122975756,0.614131396908897,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 2",300,0.0325907786497473,0.0553771328002635,0.556182558263018,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 3",50,0.0119286191094075,0.0519740901242862,0.818472576935334,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 3",100,0.0119286191094075,0.0470400463080479,0.799817485425034,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 3",200,0.0119286191094075,0.0438652036220184,0.785670483265892,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 3",250,0.0119286191094075,0.0542413617339916,0.825936166566669,FALSE,"",66072
"Excess salinity above FAO threshold","rice","Rice","Spec. 3",300,0.0119286191094075,0.0382205299209693,0.75496567661141,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",66072
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 1",50,-0.0231544411581278,0.0152571107164711,0.129114488351403,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 1",100,-0.0231544411581278,0.0162874972132595,0.15514330356654,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 1",200,-0.0231544411581278,0.0175885814557177,0.188027145212985,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 1",250,-0.0231544411581278,0.0161583490965895,0.151869521254426,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 1",300,-0.0231544411581278,0.015235833389171,0.128580748925654,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 2",50,-0.0227137383128626,0.0152661389991529,0.136793569854651,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 2",100,-0.0227137383128626,0.0161658750191518,0.160011994064172,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 2",200,-0.0227137383128626,0.0172953178459305,0.189089021421908,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 2",250,-0.0227137383128626,0.0158656515871812,0.152253135578578,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 2",300,-0.0227137383128626,0.0150025463068247,0.130031166964035,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 3",50,-0.022711259268265,0.01538180873629,0.139812730457164,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 3",100,-0.022711259268265,0.0163757456966595,0.165480425136898,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 3",200,-0.022711259268265,0.0173161387524685,0.189669797498169,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 3",250,-0.022711259268265,0.0162720677282779,0.162801952178378,FALSE,"",94296
"Excess salinity above FAO threshold","cassava","Cassava","Spec. 3",300,-0.022711259268265,0.0154510972437347,0.141597587079553,FALSE,"",94296
"Excess salinity above FAO threshold","beans","Beans","Spec. 1",50,-0.030029091068816,0.0154061836126454,0.0512792480627834,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 1",100,-0.030029091068816,0.0174801552660831,0.085818587930283,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 1",200,-0.030029091068816,0.0153983895224727,0.0511615752384859,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 1",250,-0.030029091068816,0.0151064569922028,0.046832988703247,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 1",300,-0.030029091068816,0.0137509130042115,0.0289800266847518,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 2",50,-0.0294904191835817,0.0156134050886436,0.0589230062299239,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 2",100,-0.0294904191835817,0.0178650238071141,0.098795776455805,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 2",200,-0.0294904191835817,0.0149738973037508,0.0489035408607346,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 2",250,-0.0294904191835817,0.0142727515709417,0.0388117130963512,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 2",300,-0.0294904191835817,0.0124938314657711,0.0182571854754193,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 3",50,-0.0245481938131774,0.0145786770700791,0.0922151906284593,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 3",100,-0.0245481938131774,0.0166268541802605,0.139834677227088,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 3",200,-0.0245481938131774,0.0140115232750259,0.0797767411272608,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 3",250,-0.0245481938131774,0.0137523312665538,0.0742609459033384,FALSE,"",102376
"Excess salinity above FAO threshold","beans","Beans","Spec. 3",300,-0.0245481938131774,0.0133315751033992,0.0655721008516571,FALSE,"",102376
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 1",50,-0.186908345235041,0.253775011886967,0.461424311708737,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 1",100,-0.186908345235041,0.281440219450144,0.506622018799239,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 1",200,-0.186908345235041,0.248900203588723,0.45269590696889,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 1",250,-0.186908345235041,0.147873219673378,0.206247077968497,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 1",300,-0.186908345235041,1e-06,0,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 2",50,-0.135005809889104,0.253274216318489,0.594007999052803,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 2",100,-0.135005809889104,0.283218301058285,0.633589819046178,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 2",200,-0.135005809889104,0.224271033912404,0.547194095053269,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 2",250,-0.135005809889104,0.0832302681871244,0.104796506846211,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 2",300,-0.135005809889104,0.0104928350628568,8.54131904400974e-38,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 3",50,-0.167423205748619,0.230533557436,0.467695355765514,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 3",100,-0.167423205748619,0.254687929616968,0.510950070379526,FALSE,"",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 3",200,-0.167423205748619,0.23030182383372,0.467247577840604,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 3",250,-0.167423205748619,0.126309400835552,0.185014153429574,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","soy","Soybeans","Spec. 3",300,-0.167423205748619,0.0386322856681834,1.47007741536748e-05,TRUE,"The VCOV matrix is not positive semi-definite and was 'fixed' (see ?vcov).",33563
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 1",50,-0.00907045872352437,0.0333186196670708,0.785443140951383,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 1",100,-0.00907045872352437,0.0333379516502742,0.785564517252006,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 1",200,-0.00907045872352437,0.0122530885274742,0.459145917618369,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 1",250,-0.00907045872352437,0.027854777764771,0.744702587494603,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 1",300,-0.00907045872352437,0.0230225573993406,0.693596266087429,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 2",50,-0.0152134398634738,0.0327812198037726,0.64258495947555,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 2",100,-0.0152134398634738,0.0311256519207816,0.625002893493807,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 2",200,-0.0152134398634738,0.0124088093274629,0.220196470353432,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 2",250,-0.0152134398634738,0.0279758901612058,0.586577524984477,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 2",300,-0.0152134398634738,0.0218672679947655,0.486608631930021,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",50,-0.0222050512487639,0.0312833303898954,0.477828229517185,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",100,-0.0222050512487639,0.0312450867254004,0.47728956836873,FALSE,"",57069
"Excess salinity above FAO threshold","sugarcane","Sugarcane","Spec. 3",200,-0.0222050512487639,0.0148024536686209,0.133595952757727,FALSE,"",57069
