exposure,crop,crop_label,specification,estimate,standard_error,p_value,ci95_low,ci95_high,ci90_low,ci90_high,observations,conley_cutoff_km
Crop-specific FAO excess salinity,corn,Corn,Spec 1,-0.0848392819284813,0.0246509547628779,0.000578443717669709,-0.133154778470102,-0.0365237853868603,-0.125386823804041,-0.0442917400529211,114025,200
Crop-specific FAO excess salinity,corn,Corn,Spec 2,-0.0813813496408613,0.0233259479476153,0.000485238267299262,-0.127099852982775,-0.0356628462989478,-0.119749431546544,-0.043013267735179,114025,200
Crop-specific FAO excess salinity,corn,Corn,Spec 3,-0.0732038105807869,0.0217430167463217,0.000760782721545228,-0.115819792846126,-0.0305878283154475,-0.108968181205785,-0.0374394399557883,114025,200
Crop-specific FAO excess salinity,rice,Rice,Spec 1,0.042353878782435,0.0619503042258041,0.494182765892705,-0.079068711834905,0.163776469399775,-0.0595467333050869,0.144254490869957,66072,200
Crop-specific FAO excess salinity,rice,Rice,Spec 2,0.0325907786497473,0.054466794760252,0.549601467098185,-0.0741641341883582,0.139345691487853,-0.0570003831276407,0.122181940427135,66072,200
Crop-specific FAO excess salinity,rice,Rice,Spec 3,0.0119286191094075,0.0438652036220184,0.785670483265892,-0.0740471761215513,0.0979044143403663,-0.0602242324380667,0.0840814706568817,66072,200
Crop-specific FAO excess salinity,cassava,Cassava,Spec 1,-0.0231544411581278,0.0175885814557177,0.188027145212985,-0.0576278700087667,0.0113189876925112,-0.0520853674882062,0.00577648517195064,94296,200
Crop-specific FAO excess salinity,cassava,Cassava,Spec 2,-0.0227137383128626,0.0172953178459305,0.189089021421908,-0.0566123736835236,0.0111848970577984,-0.0511622841988506,0.00573480757312539,94296,200
Crop-specific FAO excess salinity,cassava,Cassava,Spec 3,-0.022711259268265,0.0173161387524685,0.189669797498169,-0.0566507034037617,0.0112281848672316,-0.0511940528433914,0.00577153430686129,94296,200
Crop-specific FAO excess salinity,beans,Beans,Spec 1,-0.030029091068816,0.0153983895224727,0.051161575238486,-0.0602097368926309,0.000151554754998902,-0.0553574171948826,-0.00470076494274941,102376,200
Crop-specific FAO excess salinity,beans,Beans,Spec 2,-0.0294904191835817,0.0149738973037508,0.0489035408607346,-0.058839065717287,-0.00014177264987628,-0.0541205114302264,-0.00486032693693687,102376,200
Crop-specific FAO excess salinity,beans,Beans,Spec 3,-0.0245481938131774,0.0140115232750259,0.0797767411272608,-0.0520105996116393,0.00291421198528445,-0.0475953073248371,-0.0015010803015178,102376,200
Crop-specific FAO excess salinity,soy,Soybeans,Spec 1,-0.186908345235041,0.248900203588723,0.45269590696889,-0.674761391554605,0.300944701084523,-0.596324060103224,0.222507369633142,33563,200
Crop-specific FAO excess salinity,soy,Soybeans,Spec 2,-0.135005809889104,0.224271033912404,0.547194095053269,-0.574584829397066,0.304573209618858,-0.503909027229281,0.233897407451073,33563,200
Crop-specific FAO excess salinity,soy,Soybeans,Spec 3,-0.167423205748619,0.23030182383372,0.467247577840604,-0.618822784520654,0.283976373023416,-0.546246464818529,0.211400053321291,33563,200
Crop-specific FAO excess salinity,sugarcane,Sugarcane,Spec 1,-0.00907045872352437,0.0122530885274742,0.459145917618369,-0.0330865806021435,0.0149456631550948,-0.0292253231986455,0.0110844057515968,57069,200
Crop-specific FAO excess salinity,sugarcane,Sugarcane,Spec 2,-0.0152134398634738,0.0124088093274629,0.220196470353432,-0.0395347754060492,0.00910789567910159,-0.035624446439126,0.00519756671217837,57069,200
Crop-specific FAO excess salinity,sugarcane,Sugarcane,Spec 3,-0.0222050512487639,0.0148024536686209,0.133595952757727,-0.0512179430927158,0.00680784059518792,-0.0465533163764674,0.0021432138789395,57069,200
Mean soil salinity,corn,Corn,Spec 1,-0.0605083240063002,0.0151239348885489,0.0000631599546495196,-0.0901510064432412,-0.0308656415693591,-0.0853851853333984,-0.035631462679202,114025,200
Mean soil salinity,corn,Corn,Spec 2,-0.0604359283124835,0.0143868744025175,0.00002662124517828,-0.0886339834109658,-0.0322378732140013,-0.0841004231781247,-0.0367714334468424,114025,200
Mean soil salinity,corn,Corn,Spec 3,-0.0526385838073995,0.0128692955360031,0.0000431211609027635,-0.0778622074070318,-0.0274149602077673,-0.0738068632877581,-0.031470304327041,114025,200
Mean soil salinity,rice,Rice,Spec 1,0.0200311748194382,0.0320192516827686,0.531580915227595,-0.0427265555506893,0.0827889051895656,-0.0326365462811063,0.0726988959199826,66072,200
Mean soil salinity,rice,Rice,Spec 2,0.0164050575940885,0.0299693148732094,0.584109136958752,-0.0423347968656787,0.0751449120538557,-0.0328907702397645,0.0657008854279414,66072,200
Mean soil salinity,rice,Rice,Spec 3,0.0151004620228818,0.0244797296164181,0.537332001350558,-0.0328798058665838,0.0630807299123473,-0.0251656749396998,0.0553665989854633,66072,200
Mean soil salinity,cassava,Cassava,Spec 1,-0.0136789119789409,0.0133170087546933,0.304340225943036,-0.03978010467399,0.0124222807161083,-0.0355836574064806,0.00822583344859886,94296,200
Mean soil salinity,cassava,Cassava,Spec 2,-0.013794289100765,0.0131796423187901,0.295270141075718,-0.0396262450821649,0.0120376668806349,-0.0354730846341602,0.00788450643263014,94296,200
Mean soil salinity,cassava,Cassava,Spec 3,-0.0134237695213363,0.0128969573594354,0.297948867517969,-0.0387016660590989,0.0118541270164262,-0.0346375851107753,0.00779004606810258,94296,200
Mean soil salinity,beans,Beans,Spec 1,-0.0238929183045264,0.0137634125459132,0.0825715446553373,-0.0508690302394162,0.00308319363036329,-0.0465319222770994,-0.00125391433195344,102376,200
Mean soil salinity,beans,Beans,Spec 2,-0.0246670354095862,0.0133778163230354,0.0652040920062246,-0.0508873837059012,0.00155331288672876,-0.0466717843010118,-0.00266228651816068,102376,200
Mean soil salinity,beans,Beans,Spec 3,-0.0199557520435584,0.0122965250371522,0.104618705248906,-0.0440567833056711,0.00414527921855435,-0.040181918946863,0.000270414859746205,102376,200
Mean soil salinity,soy,Soybeans,Spec 1,-0.0696956455225169,0.0182872871106659,0.000138567278869561,-0.105539363595968,-0.0338519274490653,-0.0997763871911116,-0.0396149038539222,33563,200
Mean soil salinity,soy,Soybeans,Spec 2,-0.0651897559900737,0.0165202816668454,0.0000796149056852618,-0.097570082108977,-0.0328094298711704,-0.0923639521042521,-0.0380155598758954,33563,200
