"year","total","corn","rice","cassava","beans","soy","sugarcane","total_crop_value_current_thousand","value_unit","corn_value_current_thousand","rice_value_current_thousand","cassava_value_current_thousand","beans_value_current_thousand","soy_value_current_thousand","sugarcane_value_current_thousand","selected_value_current_thousand","selected_value_share_pct","corn_value_share_pct","rice_value_share_pct","cassava_value_share_pct","beans_value_share_pct","soy_value_share_pct","sugarcane_value_share_pct","selected_area_ha","selected_share_pct","total_area_mha","selected_area_mha","corn_area_share_pct","corn_area_mha","rice_area_share_pct","rice_area_mha","cassava_area_share_pct","cassava_area_mha","beans_area_share_pct","beans_area_mha","soy_area_share_pct","soy_area_mha","sugarcane_area_share_pct","sugarcane_area_mha","mean_selected_share_pct","mean_selected_value_share_pct"
1988,49600271,13451563,6116180,1833551,6078408,10601850,4183954,6338256585,"Mil Cruzados",589449944,445570557,458470402,279083448,718114259,880115578,3370804188,53.1818827905655,9.29987506966792,7.02985988378064,7.23338343677988,4.40315793873782,11.3298388818698,13.8857675797295,42265506,85.2122481346927,49.600271,42.265506,27.1199385180779,13.451563,12.3309406918361,6.11618,3.69665520577498,1.833551,12.2547878821065,6.078408,21.3745807961412,10.60185,8.43534504075593,4.183954,89.9525015316886,63.1653178700625
1989,49163643,13131492,5406147,1927057,5519998,12245236,4153353,98284496,"Mil Cruzados Novos",6762212,5301136,7619898,3871894,9244336,18007401,50806877,51.6936842205509,6.88024284114964,5.39366453077197,7.75289929756571,3.93947586606132,9.40569100542572,18.3217106795766,42383283,86.208589139743,49.163643,42.383283,26.7097619271216,13.131492,10.9962294698137,5.406147,3.91967901971788,1.927057,11.2278050672526,5.519998,24.9070964899814,12.245236,8.44801716585567,4.153353,89.9525015316886,63.1653178700625
1990,45980738,12023771,4158547,1975643,5304267,11584734,4322299,1722709443,"Mil Cruzeiros",172436978,111845016,133831907,79912711,176195767,306757726,980980105,56.9440255282794,10.0096379398554,6.49239002284844,7.76868714244344,4.6387805746764,10.2278284777475,17.8067013707082,39369261,85.6212029480693,45.980738,39.369261,26.1495824621171,12.023771,9.04410668658689,4.158547,4.29667527302411,1.975643,11.5358457274,5.304267,25.1947543773656,11.584734,9.40023842157557,4.322299,89.9525015316886,63.1653178700625
1991,44755350,13580647,4224316,1968801,5679728,9667625,4241352,8740093676,"Mil Cruzeiros",1001760678,808505695,707792879,441758117,728082853,1471693835,5159594057,59.0336242181027,11.4616698073935,9.25053809457591,8.09822989590575,5.05438652463249,8.33037813998826,16.8384217556068,39362469,87.9503098512245,44.75535,39.362469,30.3441867843733,13.580647,9.43868386684497,4.224316,4.39902938978245,1.968801,12.6906124072318,5.679728,21.6010488131587,9.667625,9.47674858983339,4.241352,89.9525015316886,63.1653178700625
1992,45422845,13886814,4876655,2031544,5528856,9463625,4224561,103777476104,"Mil Cruzeiros",13019360510,7072639844,7923339597,5256147617,10510238710,20115422422,63897148700,61.5713072805566,12.5454588016312,6.81519739111037,7.6349318700521,5.06482506062547,10.1276684542484,19.383225702889,40012055,88.0879544202923,45.422845,40.012055,30.5723122362767,13.886814,10.7361284833656,4.876655,4.47251597736778,2.031544,12.1719720550309,5.528856,20.8345051922661,9.463625,9.30052047598516,4.224561,89.9525015316886,63.1653178700625
1993,42970397,12876384,4644165,1908722,4697525,10654163,3953047,2111804269,"Mil Cruzeiros Reais",281591987,154080308,140086752,102930319,228954665,317875270,1225519301,58.031860196036,13.3341896847922,7.29614530389038,6.63351021950226,4.87404635509807,10.841661244885,15.0523073878681,38734006,90.1411406555076,42.970397,38.734006,29.9657087180274,12.876384,10.8078242795848,4.644165,4.44194639393255,1.908722,10.9320027925271,4.697525,24.7941926159072,10.654163,9.1994658555284,3.953047,89.9525015316886,63.1653178700625
1994,46758724,14522806,4473377,1904219,5729765,11544577,4359200,27500582,"Mil Reais",3106893,1761025,1733761,1598390,3839461,3186114,15225644,55.3648064611869,11.2975536299559,6.40359174944007,6.30445202941523,5.81220426534973,13.9613808900481,11.5856238969779,42533944,90.96472350272,46.758724,42.533944,31.0590297545331,14.522806,9.56693557334884,4.473377,4.07243576621124,1.904219,12.2538951233999,5.729765,24.6896750219275,11.544577,9.32275226329957,4.3592,89.9525015316886,63.1653178700625
1995,45960271,14182486,4420677,2010471,5366321,11702919,4638281,28775715,"Mil Reais",3616583,1968686,2468005,1312398,3538796,4127665,17032133,59.1892608055091,12.5681777151324,6.84148421681268,8.57669392402587,4.56078328548917,12.2978560219963,14.3442656420527,42321155,92.0820397251356,45.960271,42.321155,30.8581426771831,14.182486,9.61847461691425,4.420677,4.37436715723456,2.010471,11.6759994735453,5.366321,25.463120093439,11.702919,10.0919357068195,4.638281,89.9525015316886,63.1653178700625
1996,41215129,12505585,3271374,1590084,4499690,10356156,4830538,29937600,"Mil Reais",3780926,1751086,1901634,1259398,4824329,5093647,18611020,62.1660386938165,12.6293557265779,5.84911950189728,6.35199214365881,4.20674335952114,16.114615066004,17.0142128961573,37053427,89.9024894475036,41.215129,37.053427,30.3422197222772,12.505585,7.9373135044658,3.271374,3.85801048930358,1.590084,10.9175686433009,4.49969,25.1270740897111,10.356156,11.7203029984451,4.830538,89.9525015316886,63.1653178700625
1997,42433428,12825504,3093802,1639921,4513868,11508120,4881648,34407651,"Mil Reais",3753503,1885189,2055746,1476398,6438004,5854697,21463537,62.3801287684533,10.9089196469704,5.47898198572172,5.97467696937521,4.29090030005245,18.7109663487345,17.015683517599,38462863,90.6428370576141,42.433428,38.462863,30.2250009120168,12.825504,7.29095466904064,3.093802,3.86469129951038,1.639921,10.6375285070063,4.513868,27.1204108232783,11.50812,11.5042508467617,4.881648,89.9525015316886,63.1653178700625
